iter	Passed	Remaining
163	252	1286
164	252	1279
165	253	1272
166	253	1265
167	254	1259
168	254	1253
169	255	1248
170	256	1242
171	256	1235
172	257	1230
173	257	1223
174	258	1218
175	259	1214
176	259	1208
177	260	1202
178	260	1196
179	261	1191
180	262	1187
181	262	1181
182	263	1177
183	264	1171
184	264	1166
185	265	1160
186	265	1155
187	266	1150
188	266	1144
189	267	1139
190	267	1134
191	268	1129
192	268	1123
193	269	1119
194	270	1115
195	270	1110
196	271	1106
197	272	1101
198	272	1097
199	273	1092
200	273	1088
201	274	1085
202	275	1080
203	275	1076
204	276	1071
205	277	1070
206	278	1065
207	279	1062
208	280	1060
209	280	1056
210	281	1052
211	281	1048
212	282	1043
213	283	1039
214	283	1035
215	284	1031
216	284	1026
217	285	1023
218	285	1019
219	286	1015
220	287	1011
221	287	1007
222	288	1004
223	288	1001
224	289	998
225	290	994
226	290	990
227	291	988
228	292	984
229	292	980
230	293	978
231	294	974
232	294	970
233	295	966
234	295	962
235	296	960
236	297	956
237	297	952
238	297	948
239	298	944
240	298	941
241	299	937
242	299	934
243	300	931
244	301	927
245	301	924
246	302	920
247	302	917
248	302	913
249	303	910
250	303	906
251	304	903
252	305	900
253	305	897
254	306	895
255	307	893
256	308	892
257	309	889
258	309	886
259	310	883
260	310	880
261	311	878
262	312	876
263	313	873
264	313	870
265	314	866
266	314	863
267	315	861
268	316	858
269	316	855
270	317	853
271	317	850
272	319	850
273	319	847
274	320	844
275	320	841
276	321	838
277	321	836
278	322	833
279	322	830
280	323	827
281	324	825
282	324	822
283	325	819
284	325	817
285	326	814
286	326	811
287	328	811
288	328	808
289	329	806
290	330	804
291	330	801
292	331	799
293	332	799
294	333	796
295	333	794
296	334	792
297	335	789
298	335	787
299	336	785
300	337	783
301	337	780
302	338	777
303	338	775
304	339	772
305	339	770
306	340	768
307	340	765
308	341	763
309	341	760
310	342	758
311	342	755
312	343	753
313	343	750
314	344	748
315	344	745
316	345	743
317	345	742
318	346	739
319	347	737
320	347	735
321	348	733
322	349	732
323	349	729
324	350	727
325	350	724
326	351	722
327	351	720
328	352	718
329	352	715
330	353	713
331	353	711
332	355	711
333	355	709
334	356	707
335	357	706
336	357	703
337	358	701
338	359	700
339	359	698
340	360	696
341	360	694
342	361	692
343	362	690
344	363	689
345	363	687
346	364	685
347	364	683
348	365	681
349	365	679
350	366	677
351	366	675
352	367	673
353	367	671
354	368	669
355	368	667
356	369	665
357	369	663
358	370	661
359	370	659
360	371	657
361	371	655
362	372	653
363	372	651
364	373	649
365	373	647
366	374	645
367	374	643
368	375	641
369	375	639
370	376	637
371	376	635
372	377	634
373	377	632
374	378	630
375	378	628
376	379	626
377	379	625
378	380	623
379	381	622
380	381	620
381	382	618
382	382	616
383	383	614
384	383	612
385	384	612
386	385	610
387	385	608
388	386	606
389	386	604
390	387	602
391	387	601
392	388	599
393	388	597
394	389	596
395	389	594
396	390	593
397	391	591
398	391	590
399	392	588
400	392	586
401	393	584
402	393	583
403	394	581
404	394	579
405	395	578
406	395	576
407	396	574
408	396	573
409	397	571
410	397	569
411	398	568
412	398	566
413	399	564
414	399	563
415	400	561
416	400	560
417	401	559
418	402	557
419	402	556
420	403	554
421	403	552
422	404	551
423	404	550
424	405	548
425	406	547
426	407	546
427	407	545
428	408	543
429	409	542
430	409	540
431	410	539
432	410	537
433	411	536
434	411	534
435	412	533
436	412	531
437	413	530
438	413	528
439	414	527
440	414	525
441	415	524
442	415	522
443	416	521
444	416	520
445	417	518
446	417	517
447	418	515
448	418	514
449	419	512
450	419	511
451	420	509
452	421	508
453	421	507
454	422	505
455	422	504
456	423	502
457	423	501
458	424	500
459	425	499
460	425	497
461	426	496
462	426	495
463	427	493
464	429	493
465	429	492
466	430	491
467	431	490
468	432	489
469	432	488
470	433	486
471	433	485
472	434	483
473	434	482
474	435	481
475	435	479
476	436	478
477	437	477
478	437	476
479	438	475
480	438	473
481	439	472
482	440	471
483	440	469
484	441	468
485	441	467
486	442	465
487	442	464
488	443	463
489	444	462
490	444	460
491	445	459
492	445	458
493	446	456
